TARGET_BAD_FLAG,TARGET_LOSS_AMT,LOAN,z_IMP_REASON_HomeImp,z_IMP_REASON_MISSING,z_IMP_JOB_Mgr,z_IMP_JOB_Office,z_IMP_JOB_Other,z_IMP_JOB_ProfExe,z_IMP_JOB_Sales,z_IMP_JOB_Self,M_MORTDUE,IMP_MORTDUE,M_VALUE,IMP_VALUE,M_YOJ,IMP_YOJ,M_DEROG,IMP_DEROG,M_DELINQ,IMP_DELINQ,M_CLAGE,IMP_CLAGE,M_NINQ,IMP_NINQ,M_CLNO,IMP_CLNO,M_DEBTINC,IMP_DEBTINC
1,2550.0,4000,1,0,1,0,0,0,0,0,0,45000.0,0,58350.0,0,3.5,0,0.0,0,0.0,0,162.0,0,3.0,0,16.0,1,34.81826182
1,3730.0,4000,1,0,0,0,1,0,0,0,0,7000.0,0,16020.0,0,18.0,0,0.0,0,1.0,0,85.8,0,2.0,0,23.0,1,34.81826182
0,,4000,1,0,0,0,1,0,0,0,0,66000.0,0,79050.0,0,1.8,0,2.0,0,0.0,0,279.0,0,1.0,0,6.0,1,34.81826182
0,,4000,1,0,0,0,0,0,0,0,1,65019.0,0,45760.0,0,0.0,0,0.0,0,0.0,1,173.4666667,0,0.0,0,0.0,1,34.81826182
0,,4000,1,0,0,0,1,0,0,0,0,62000.0,0,78000.0,0,4.0,0,0.0,0,0.0,0,109.5666667,0,0.0,0,15.0,1,34.81826182
0,,4000,1,0,0,0,0,0,1,0,0,64240.0,0,63990.0,0,5.0,0,2.0,0,0.0,0,160.3,0,1.0,0,23.0,1,34.81826182
1,3066.0,4000,1,0,0,0,0,1,0,0,0,74000.0,0,93000.0,0,2.6,0,1.0,0,3.0,0,186.6333333,1,1.0,0,9.0,1,34.81826182
1,3803.0,4000,0,0,0,0,1,0,0,0,0,55000.0,0,59000.0,0,12.0,0,2.0,0,0.0,0,146.1,0,0.0,0,22.0,1,34.81826182
0,,4000,1,0,1,0,0,0,0,0,0,67625.0,0,80698.0,0,11.0,1,0.0,0,1.0,0,212.3493039,0,0.0,0,25.0,0,39.12871763
0,,4000,1,0,1,0,0,0,0,0,0,67533.0,0,71865.0,0,10.0,1,0.0,0,2.0,0,227.7929884,0,0.0,0,25.0,0,39.1663287
1,1935.0,4100,1,0,0,0,1,0,0,0,1,65019.0,0,19132.0,0,0.0,0,0.0,0,0.0,0,100.7746522,0,0.0,0,19.0,0,33.8409199
1,4003.0,4100,1,0,0,0,1,0,0,0,0,58500.0,0,65000.0,0,8.0,0,1.0,0,2.0,0,63.93333333,0,2.0,0,15.0,1,34.81826182
0,,4100,0,0,0,0,0,1,0,0,0,57992.0,0,63797.0,0,7.0,0,0.0,0,4.0,0,165.505037,0,1.0,0,31.0,0,22.27817437
0,,4200,1,0,0,1,0,0,0,0,0,56544.0,0,59218.0,0,19.0,0,0.0,0,0.0,0,211.0025991,0,1.0,0,20.0,0,19.02770443
1,2528.0,4200,1,0,0,0,1,0,0,0,0,34800.0,0,50225.0,0,2.0,0,1.0,0,0.0,0,93.5,0,1.0,0,5.0,1,34.81826182
0,,4200,0,0,0,0,0,0,1,0,0,67700.0,0,77000.0,0,4.0,0,0.0,0,0.0,0,128.8333333,0,0.0,0,31.0,1,34.81826182
0,,4200,0,0,0,0,0,0,0,0,0,44000.0,0,55085.0,0,6.0,1,0.0,0,1.0,0,75.43333333,1,1.0,0,16.0,1,34.81826182
0,,4200,1,0,0,0,1,0,0,0,0,66272.0,0,82953.0,0,3.0,0,0.0,0,0.0,0,110.2786626,0,0.0,0,15.0,0,43.45058791
0,,4200,1,0,0,1,0,0,0,0,0,50216.0,0,58541.0,0,19.0,0,0.0,0,0.0,0,209.8713022,0,0.0,0,19.0,0,20.20803267
0,,4300,0,0,0,0,0,0,1,0,0,71206.0,0,78698.0,0,3.0,0,0.0,0,0.0,0,129.932869,0,0.0,0,31.0,0,34.18137652
0,,4300,1,0,0,0,1,0,0,0,0,68815.0,0,79852.0,0,6.0,0,0.0,0,0.0,0,105.1207088,0,0.0,0,14.0,0,41.80637615
0,,4300,1,0,0,0,1,0,0,0,0,72021.0,0,80027.0,0,2.0,0,2.0,0,0.0,0,263.9703003,0,0.0,0,5.0,0,36.43209394
0,,4400,0,0,0,0,0,1,0,0,0,53969.0,0,63869.0,0,7.0,0,0.0,0,3.0,0,162.3900107,0,0.0,0,30.0,0,23.58107924
0,,4400,0,1,0,0,0,0,0,0,1,65019.0,0,60250.0,1,7.0,1,0.0,1,0.0,1,173.4666667,1,1.0,1,20.0,1,34.81826182
1,3917.0,4400,0,0,0,1,0,0,0,0,0,53091.0,0,64074.0,0,14.0,0,1.0,0,3.0,0,89.86105825,0,0.0,0,17.0,0,39.15808483
0,,4500,1,0,0,0,1,0,0,0,0,66127.0,0,79087.0,0,4.0,0,1.0,0,0.0,0,81.3490651,0,0.0,0,15.0,0,40.70530876
0,,4500,0,1,0,0,0,0,0,0,1,65019.0,0,77182.0,1,7.0,1,0.0,1,0.0,1,173.4666667,1,1.0,1,20.0,0,25.2272529
1,3195.0,4500,1,0,0,0,1,0,0,0,0,39000.0,0,66000.0,0,1.0,0,0.0,0,0.0,0,170.3666667,0,1.0,0,19.0,1,34.81826182
0,,4500,1,0,0,0,1,0,0,0,0,71082.0,0,79247.0,0,4.0,0,0.0,0,0.0,0,118.7604101,0,0.0,0,14.0,0,41.42111052
0,,4500,1,0,0,0,0,0,0,0,1,65019.0,0,49044.0,0,0.0,0,0.0,0,0.0,1,173.4666667,0,0.0,0,0.0,0,11.6527388
1,2435.0,4500,1,0,0,0,1,0,0,0,0,57000.0,1,89235.5,0,5.0,1,0.0,1,0.0,0,222.6,0,1.0,0,13.0,1,34.81826182
1,4182.0,4500,1,0,1,0,0,0,0,0,0,34184.0,0,46000.0,0,3.5,0,0.0,0,1.0,0,122.6,0,2.0,0,22.0,1,34.81826182
1,4897.0,4500,0,0,0,0,0,1,0,0,0,66517.0,0,87000.0,0,10.0,0,0.0,0,4.0,0,125.8,0,0.0,0,34.0,1,34.81826182
0,,4500,1,0,0,0,1,0,0,0,0,45500.0,0,50000.0,0,6.0,0,0.0,0,0.0,0,86.16666667,0,0.0,0,18.0,1,34.81826182
1,3213.0,4500,1,0,0,0,0,1,0,0,0,118000.0,0,146870.0,0,4.5,0,2.0,0,0.0,0,203.8666667,0,1.0,0,20.0,1,34.81826182
1,4399.0,4500,1,0,0,0,1,0,0,0,0,90000.0,0,105800.0,0,6.0,0,2.0,0,3.0,0,80.1,0,3.0,0,10.0,1,34.81826182
0,,4700,0,1,1,0,0,0,0,0,0,67913.0,0,97205.0,0,2.0,0,0.0,0,0.0,0,142.8243915,0,0.0,0,24.0,0,35.22699719
0,,4700,1,0,0,0,1,0,0,0,0,71855.0,0,88566.0,0,2.0,0,2.0,0,0.0,0,283.9595381,0,0.0,0,5.0,0,36.47547328
0,,4700,0,0,0,0,0,0,0,0,0,53918.0,0,59511.0,0,6.0,1,0.0,0,0.0,0,54.13647743,1,1.0,0,15.0,0,34.41650781
1,4247.0,4700,1,0,0,0,0,1,0,0,0,49100.0,0,58238.0,0,0.1,0,0.0,0,0.0,0,61.8,0,2.0,0,17.0,1,34.81826182
0,,4700,1,0,0,0,0,1,0,0,0,88026.0,0,115506.0,0,6.0,0,0.0,0,0.0,0,182.2483316,0,0.0,0,27.0,0,29.20902258
1,4477.0,4700,1,0,0,0,0,1,0,0,0,26900.0,0,45000.0,0,9.0,0,1.0,0,2.0,0,90.46666667,0,1.0,0,16.0,1,34.81826182
0,,4800,0,1,1,0,0,0,0,0,0,67317.0,0,97191.0,0,3.0,0,0.0,0,0.0,0,137.3197248,0,0.0,0,23.0,0,34.27529378
0,,4800,0,0,0,0,0,1,0,0,0,56067.0,0,63102.0,0,9.0,0,0.0,0,3.0,0,160.1463113,0,1.0,0,30.0,0,21.58376012
0,,4800,1,0,0,0,0,1,0,0,0,80482.0,0,88342.0,0,7.0,0,0.0,0,0.0,0,275.0323948,0,0.0,0,11.0,0,43.71763511
0,,4900,0,0,0,0,0,1,0,0,0,58688.0,0,63348.0,0,9.0,0,0.0,0,3.0,0,179.1625747,0,2.0,0,31.0,0,22.54439284
0,,4900,0,1,1,0,0,0,0,0,0,65873.0,0,90408.0,0,2.0,0,0.0,0,0.0,0,141.858999,0,0.0,0,23.0,0,37.76961861
1,972.0,4900,1,0,0,0,1,0,0,0,0,25597.0,0,23031.0,0,5.0,0,0.0,0,0.0,0,101.7467664,0,0.0,0,8.0,0,33.24315698
0,,4900,1,0,0,0,1,0,0,0,0,67794.0,0,84630.0,0,4.0,0,0.0,0,0.0,0,112.5734189,0,0.0,0,15.0,0,41.67399636
1,3536.0,4900,1,0,0,0,1,0,0,0,0,44000.0,0,59745.0,0,10.0,0,0.0,0,0.0,0,81.5,0,3.0,0,13.0,1,34.81826182
0,,4900,1,0,0,0,0,0,0,0,1,65019.0,0,28437.5,1,7.0,1,0.0,1,0.0,1,173.4666667,1,1.0,1,20.0,1,34.81826182
0,,4900,0,0,0,0,0,0,1,0,0,170986.0,0,245300.0,1,7.0,0,0.0,0,0.0,0,131.9333333,0,0.0,0,22.0,1,34.81826182
1,3509.0,4900,1,0,0,0,1,0,0,0,0,65576.0,0,65774.0,0,6.0,0,1.0,0,2.0,0,61.64250608,0,1.0,0,14.0,0,40.59091002
0,,4900,0,0,0,0,0,1,0,0,0,57461.0,0,68494.0,0,8.0,0,0.0,0,4.0,0,183.6356132,0,0.0,0,30.0,0,22.79542355
0,,4900,0,1,0,0,0,0,0,0,1,65019.0,0,69706.0,1,7.0,1,0.0,1,0.0,1,173.4666667,1,1.0,1,20.0,0,33.70558774
0,,5000,1,0,0,0,0,0,0,0,1,65019.0,0,34846.0,1,7.0,1,0.0,1,0.0,1,173.4666667,1,1.0,1,20.0,0,33.35465263
0,,5000,0,0,0,0,0,0,0,0,0,47479.0,0,61690.0,0,5.0,1,0.0,0,0.0,0,65.03296901,1,1.0,0,16.0,0,36.69941492
0,,5000,1,0,0,0,1,0,0,0,0,66839.0,0,87168.0,0,4.0,0,0.0,0,0.0,0,122.5972226,0,0.0,0,15.0,0,40.61677935
0,,5000,1,0,0,0,0,0,0,1,0,12457.0,0,53448.0,1,7.0,0,0.0,0,0.0,0,207.1434813,0,0.0,0,12.0,0,44.10795169
0,,5000,1,0,0,0,0,1,0,0,0,90059.0,0,113714.0,0,7.0,0,0.0,0,0.0,0,193.6364469,0,0.0,0,28.0,0,25.89731648
1,2808.0,5000,1,0,0,0,1,0,0,0,0,22320.0,0,34900.0,0,10.0,0,0.0,0,0.0,0,65.7,0,1.0,0,5.0,1,34.81826182
1,3626.0,5000,1,0,1,0,0,0,0,0,0,40000.0,0,70500.0,0,0.4,0,0.0,0,0.0,0,61.76666667,0,2.0,0,8.0,1,34.81826182
1,4663.0,5000,1,0,1,0,0,0,0,0,0,100882.0,0,102700.0,0,5.0,0,0.0,0,1.0,0,58.86666667,0,0.0,0,16.0,1,34.81826182
1,3961.0,5000,1,0,0,0,0,1,0,0,0,31000.0,0,47350.0,0,12.0,1,0.0,1,0.0,1,173.4666667,1,1.0,1,20.0,1,34.81826182
1,3754.0,5000,1,0,0,1,0,0,0,0,0,63125.0,0,126500.0,0,3.0,0,0.0,0,0.0,0,100.3,0,0.0,0,14.0,1,34.81826182
1,3927.0,5000,1,0,1,0,0,0,0,0,0,100000.0,0,129693.5,0,13.0,1,0.0,1,0.0,1,173.4666667,1,1.0,1,20.0,1,34.81826182
1,3930.0,5000,1,0,0,0,1,0,0,0,1,65019.0,0,132000.0,0,17.5,0,0.0,0,2.0,0,121.9,0,0.0,0,14.0,1,34.81826182
1,3690.0,5000,1,0,0,0,1,0,0,0,1,65019.0,0,9100.0,0,1.0,0,0.0,0,0.0,0,54.73333333,0,2.0,0,8.0,1,34.81826182
1,3592.0,5000,1,0,0,0,1,0,0,0,0,34200.0,0,50830.0,0,6.0,0,0.0,0,0.0,0,57.0,0,1.0,0,9.0,1,34.81826182
1,3603.0,5000,1,0,0,0,1,0,0,0,1,65019.0,0,71277.0,0,10.0,0,0.0,0,0.0,0,72.43333333,0,1.0,0,12.0,1,34.81826182
